Date received,Product,Sub-product,Issue,Sub-issue,Company,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
07/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,Wells Fargo & Company,Referral,07/30/2013,Closed with explanation,Yes,Yes,469664
07/29/2013,Credit reporting,,Incorrect information on credit report,Account status,Ocwen,Referral,08-01-2013,Closed,Yes,No,469666
07/31/2013,Credit card,,Billing statement,,JPMorgan Chase & Co.,Web,07/30/2013,Closed with monetary relief,Yes,No,479338
07/31/2013,Bank account or service,Checking account,Deposits and withdrawals,,Santander Bank US,Web,08-01-2013,Closed with explanation,Yes,No,470903
07/29/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,HSBC North America Holdings Inc.,Phone,07/30/2013,Closed with explanation,Yes,No,469669
07/29/2013,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,Experian,Web,07/31/2013,Closed with explanation,Yes,No,469670
07/31/2013,Debt collection,Credit card,Taking/threatening an illegal action,Sued w/o proper notification of suit,Encore Capital Group,Web,07/30/2013,Closed with explanation,Yes,No,487029
07/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,Ocwen,Web,07/30/2013,Closed with explanation,Yes,No,469678
07/30/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"Fidelity National Information Services, Inc. (FNIS)",Web,09/17/2013,Closed with explanation,Yes,No,469732
07/31/2013,Credit card,,Payoff process,,Citibank,Web,07/30/2013,Closed with explanation,Yes,No,480935
07/31/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,Bank of America,Web,07/31/2013,Closed with explanation,Yes,Yes,493136
07/31/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,Nationstar Mortgage,Web,07/31/2013,Closed with explanation,Yes,Yes,454695
07/30/2013,Debt collection,Federal student loan,Communication tactics,Frequent or repeated calls,"Navient Solutions, Inc.",Web,07/29/2013,Closed with explanation,Yes,No,469736
07/31/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,Citibank,Web,07/31/2013,Closed with explanation,Yes,No,748242
07/31/2013,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,The Moore Law Group,Web,07/30/2013,Closed with explanation,Yes,No,470913
07/30/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"Franklin Collection Service, Inc.",Phone,08-01-2013,Closed with explanation,Yes,No,469711
07/31/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,HSBC North America Holdings Inc.,Web,07/31/2013,Closed with explanation,Yes,Yes,482443
07/30/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,EverBank,Web,07/30/2013,Closed with explanation,Yes,No,469734
